name (link),category,data type,reference,version,license
`chelsa <http://chelsa-climate.org/downloads/>`__,meteo,RasterDataset,`Karger et al. (2017) <https://doi.org/10.1038/sdata.2017.122>`__,1.2,CC BY 4.0
`chelsa_v1.2 <http://chelsa-climate.org/downloads/>`__,meteo,RasterDataset,`Karger et al. (2017) <https://doi.org/10.1038/sdata.2017.122>`__,1.2,CC BY 4.0
`chirps <https://www.chc.ucsb.edu/data/chirps>`__,meteo,RasterDataset,`Funk et al (2015) <https://doi.org/10.1038/sdata.2015.66>`__,v2.0,CC
`chirps_africa_daily_v2.0 <https://www.chc.ucsb.edu/data/chirps>`__,meteo,RasterDataset,`Funk et al (2015) <https://doi.org/10.1038/sdata.2015.66>`__,v2.0,CC
`chirps_global <https://www.chc.ucsb.edu/data/chirps>`__,meteo,RasterDataset,`Funk et al (2014) <https://doi.org/10.3133/ds832>`__,v2.0,CC
`chirps_global_daily_v2.0 <https://www.chc.ucsb.edu/data/chirps>`__,meteo,RasterDataset,`Funk et al (2014) <https://doi.org/10.3133/ds832>`__,v2.0,CC
`eobs <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_v22.0e <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_v23.1e <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,23.1e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_orography_v20.0e <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,20.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_orography <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_orography_v22.0e <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_orography_v23.1e <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,23.1e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`era5 <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 daily data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`era5_daily <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 daily data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`era5_hourly <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 hourly data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`era5_orography <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 hourly data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`koppen_geiger <http://koeppen-geiger.vu-wien.ac.at/present.htm>`__,meteo,RasterDataset,`Kottek et al. (2006) <https://doi.org/10.1127/0941-2948/2006/0130>`__,2017,
`worldclim <https://www.worldclim.org/data/worldclim21.html>`__,meteo,RasterDataset,`Fick and Hijmans (2017) <https://doi.org/10.1002/joc.5086>`__,2,
`worldclim_v2.0 <https://www.worldclim.org/data/worldclim21.html>`__,meteo,RasterDataset,`Fick and Hijmans (2017) <https://doi.org/10.1002/joc.5086>`__,2,
