name (link),category,data type,reference,version,license
gdp_world,socio economic,GeoDataFrame,,1,CC BY-4.0
gdp_world_v1,socio economic,GeoDataFrame,,1,CC BY-4.0
`ghs_pop <https://ghsl.jrc.ec.europa.eu/download.php?ds=pop>`__,socio economic,RasterDataset,`Florczyk et al (2019) <https://doi.org/10.2760/062975>`__,,CC BY 4.0
`ghs_pop_2015_4326_v2019a <https://data.jrc.ec.europa.eu/dataset/0c6b9751-a71f-4062-830b-43c9f432370f>`__,socio economic,RasterDataset,`Schiavina et al (2019) <https://doi.org/10.2905/0C6B9751-A71F-4062-830B-43C9F432370F>`__,R2019A_v1.0,`Specific <https://data.jrc.ec.europa.eu/licence/com_reuse>`__
`ghs_pop_2015_54009_v2019a <https://ghsl.jrc.ec.europa.eu/download.php?ds=pop>`__,socio economic,RasterDataset,`Florczyk et al (2019) <https://doi.org/10.2760/062975>`__,,CC BY 4.0
`ghs_smod <https://data.jrc.ec.europa.eu/dataset/42e8be89-54ff-464e-be7b-bf9e64da5218>`__,socio economic,RasterDataset,`Pesaresi et al (2019) <https://doi.org/10.2905/42E8BE89-54FF-464E-BE7B-BF9E64DA5218>`__,R2019A_v2.0,`Specific <https://data.jrc.ec.europa.eu/licence/com_reuse>`__
`ghs_smod_2015_54009_v2016a <https://data.jrc.ec.europa.eu/dataset/jrc-ghsl-ghs_smod_pop_globe_r2016a>`__,socio economic,RasterDataset,Pesaresi and Freire (2016),R2016A_v1.0,`Specific <https://data.jrc.ec.europa.eu/licence/com_reuse>`__
`ghs_smod_2015_54009_v2019a <https://data.jrc.ec.europa.eu/dataset/42e8be89-54ff-464e-be7b-bf9e64da5218>`__,socio economic,RasterDataset,`Pesaresi et al (2019) <https://doi.org/10.2905/42E8BE89-54FF-464E-BE7B-BF9E64DA5218>`__,R2019A_v2.0,`Specific <https://data.jrc.ec.europa.eu/licence/com_reuse>`__
`glw_buffaloes <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/5U8MWI>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_buffaloes_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/5U8MWI>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_cattle <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/GIVQ75>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_cattle_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/GIVQ75>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_chicken <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/SUFASB>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_chicken_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/SUFASB>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_ducks <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/ICHCBH>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_ducks_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/ICHCBH>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_goats <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/OCPH42>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_goats_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/OCPH42>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_horses <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/7Q52MV>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_horses_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/7Q52MV>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_pigs <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/33N0JG>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_pigs_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/33N0JG>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_sheeps <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/BLWPZN>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`glw_sheeps_v3 <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/BLWPZN>`__,GLW 3, last downloaded 2020-06-11,CC 4.0
`guf_bld_2012 <http://www.dlr.de/guf>`__,socio economic,RasterDataset,`Esch et al (2017) <https://doi.org/10.1016/j.isprsjprs.2017.10.012>`__,,`Specific <https://www.dlr.de/eoc/en/PortalData/60/Resources/dokumente/guf/DLR-GUF_LicenseAgreement-and-OrderForm.pdf>`__
`guf_bld_2012_v02 <http://www.dlr.de/guf>`__,socio economic,RasterDataset,`Esch et al (2017) <https://doi.org/10.1016/j.isprsjprs.2017.10.012>`__,,`Specific <https://www.dlr.de/eoc/en/PortalData/60/Resources/dokumente/guf/DLR-GUF_LicenseAgreement-and-OrderForm.pdf>`__
`wb_countries <https://datacatalog.worldbank.org/dataset/world-bank-official-boundaries>`__,socio-economic,GeoDataFrame,,,CC-BY 4.0
`wb_countries_v20200319 <https://datacatalog.worldbank.org/dataset/world-bank-official-boundaries>`__,socio-economic,GeoDataFrame,,,CC-BY 4.0
`wsf_bld_2015 <https://un-spider.org/links-and-resources/data-sources/world-settlement-footprint-2015-wsf-dlr-eoc>`__,socio economic,RasterDataset,`Marconcini at al (2020) <https://doi.org/10.1038/s41597-020-00580-5>`__,,CC0 1.0
