name (link),category,data type,reference,version,license
`dtu10mdt <https://www.space.dtu.dk/english/research/scientific_data_and_models/global_mean_dynamic_topography>`__,topography,RasterDataset,`Andersen and Knudsen (2009) <https://doi.org/10.1029/2008JC005179>`__,2010,
`dtu10mdt_egm96 <https://www.space.dtu.dk/english/research/scientific_data_and_models/global_mean_dynamic_topography>`__,topography,RasterDataset,`Andersen and Knudsen (2009) <https://doi.org/10.1029/2008JC005179>`__,2010,
`gebco <https://www.bodc.ac.uk/data/open_download/gebco/gebco_2020/geotiff/>`__,topography,RasterDataset,`Weatherall et al (2020) <https://doi.org/10.5285/a29c5465-b138-234d-e053-6c86abc040b9>`__,2020,`Specific <https://www.gebco.net/data_and_products/gridded_bathymetry_data/#a1>`__
`gebco_v2020 <https://www.bodc.ac.uk/data/open_download/gebco/gebco_2020/geotiff/>`__,topography,RasterDataset,`Weatherall et al (2020) <https://doi.org/10.5285/a29c5465-b138-234d-e053-6c86abc040b9>`__,2020,`Specific <https://www.gebco.net/data_and_products/gridded_bathymetry_data/#a1>`__
`mdt_cnes_cls18 <https://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mdt.html>`__,topography,RasterDataset,`Mulet et al (2021) <https://doi.org/10.5194/os-17-789-2021>`__,18,
`merit <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_DEM/>`__,topography,RasterDataset,`Yamazaki et al. (2018) <https://doi.org/10.1002/2017GL072874>`__,1.0.3,CC-BY-NC 4.0 or ODbL 1.0
`merit_v1.0.3 <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_DEM/>`__,topography,RasterDataset,`Yamazaki et al. (2018) <https://doi.org/10.1002/2017GL072874>`__,1.0.3,CC-BY-NC 4.0 or ODbL 1.0
`merit_hydro <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro>`__,topography,RasterDataset,`Yamazaki et al. (2019) <https://doi.org/10.1029/2019WR024873>`__,1,CC-BY-NC 4.0 or ODbL 1.0
`merit_hydro_v1.0 <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro>`__,topography,RasterDataset,`Yamazaki et al. (2019) <https://doi.org/10.1029/2019WR024873>`__,1,CC-BY-NC 4.0 or ODbL 1.0
merit_hydro_index,topography,GeoDataFrame,`Eilander et al. (in review) <https://doi.org/10.5194/hess-2020-582>`__,,CC-BY-NC 4.0
merit_hydro_index_v1.0,topography,GeoDataFrame,`Eilander et al. (in review) <https://doi.org/10.5194/hess-2020-582>`__,,CC-BY-NC 4.0
`merit_hydro_patch <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro>`__,topography,RasterDataset,`Yamazaki et al. (2019) <https://doi.org/10.1029/2019WR024873>`__,1.0 Deltares patch,CC-BY-NC 4.0 or ODbL 1.0
`merit_hydro_patch_v1.0 <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro>`__,topography,RasterDataset,`Yamazaki et al. (2019) <https://doi.org/10.1029/2019WR024873>`__,1.0 Deltares patch,CC-BY-NC 4.0 or ODbL 1.0
`merit_hydro_ihu <https://zenodo.org/record/5166932#.YVbxJ5pByUk>`__,topography,RasterDataset,`Eilander et al. (2020) <https://doi.org/10.5281/zenodo.5166932>`__,1,ODC-By 1.0
`merit_hydro_ihu_30sec_v1.0 <https://zenodo.org/record/5166932#.YVbxJ5pByUk>`__,topography,RasterDataset,`Eilander et al. (2020) <https://doi.org/10.5281/zenodo.5166932>`__,1,ODC-By 1.0
