name (link),category,data type,reference,version,license
GDP_world,socio economic,GeoDataFrame,,1.0,CC BY-4.0
`chelsa <http://chelsa-climate.org/downloads/>`__,meteo,RasterDataset,`Karger et al. (2017) <https://doi.org/10.1038/sdata.2017.122>`__,1.2,CC BY 4.0
`chirps_global <https://www.chc.ucsb.edu/data/chirps>`__,meteo,RasterDataset,`Funk et al (2014) <https://doi.org/10.3133/ds832>`__,v2.0,CC
`corine <https://land.copernicus.eu/pan-european/corine-land-cover/clc2018>`__,landuse & landcover,RasterDataset,,v.2020_20u1,`Specific <https://land.copernicus.eu/pan-european/corine-land-cover/clc2018?tab=metadata>`__
`dtu10mdt <https://www.space.dtu.dk/english/research/scientific_data_and_models/global_mean_dynamic_topography>`__,topography,RasterDataset,`Andersen and Knudsen (2009) <https://doi.org/10.1029/2008JC005179>`__,2010,
`dtu10mdt_egm96 <https://www.space.dtu.dk/english/research/scientific_data_and_models/global_mean_dynamic_topography>`__,topography,RasterDataset,`Andersen and Knudsen (2009) <https://doi.org/10.1029/2008JC005179>`__,2010,
`eobs <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`eobs_orography <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__,meteo,RasterDataset,`Cornes et al (2018) <https://doi.org/10.1029/2017JD028200>`__,22.0e,`Specific <https://surfobs.climate.copernicus.eu/dataaccess/access_eobs.php#datafiles>`__
`era5 <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 daily data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`era5_hourly <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 daily data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`era5_orography <https://doi.org/10.24381/cds.bd0915c6>`__,meteo,RasterDataset,`Hersbach et al. (2019) <https://doi.org/10.1002/qj.3803>`__,ERA5 daily data on pressure levels,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
`gcn250 <https://doi.org/10.6084/m9.figshare.7756202.v1>`__,soil,RasterDataset,`Jaafar et al. (2019) <https://doi.org/10.1038/s41597-019-0155-x>`__,v1,CC BY 4.0
`gebco <https://www.bodc.ac.uk/data/open_download/gebco/gebco_2020/geotiff/>`__,topography,RasterDataset,`Weatherall et al (2020) <https://doi.org/10.5285/a29c5465-b138-234d-e053-6c86abc040b9>`__,2020,`Specific <https://www.gebco.net/data_and_products/gridded_bathymetry_data/#a1>`__
`globcover <http://due.esrin.esa.int/page_globcover.php>`__,landuse & landcover,RasterDataset,`Arino et al (2012) <https://doi.org/10.1594/PANGAEA.787668>`__,,CC-BY-3.0
`glw_buffaloes <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/5U8MWI>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_cattle <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/GIVQ75>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_chicken <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/SUFASB>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_ducks <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/ICHCBH>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
